Hokkaido 5628
Aomori 1437
Iwate 1385
Miyagi 2360
Akita 1146
Yamagata 1216
Fukushima 2091
Ibaraki 2975
Tochigi 2017
Gumma 2024
Saitama 7054
Chiba 6056
Tokyo 12577
Kanagawa 8792
Niigata 2431
Toyama 1112
Ishikawa 1174
Fukui 822
Yamanashi 885
Nagano 2196
Gifu 2107
Shizuoka 3792
Aichi 7255
Mie 1867
Shiga 1380
Kyoto 2648
Osaka 8817
Hyogo 5591
Nara 1421
Wakayama  1036
Tottori 607
Shimane 742
Okayama 1957
Hiroshima 2877
Yamaguchi 1493
Tokushima 810
Kagawa 1012
Ehime 1468
Kochi 796
Fukuoka 5050
Saga 866
Nagasaki 1479
Kumamoto 1842
Oita 1210
Miyazaki 1153
Kagoshima 1753
Okinawa 1362
